enviro,observer,task,ori,n_runs,threshold,t_sem,slope,s_sem
lab,p7,spatial,vertical,5,1.939,0.0278,0.6213,0.0248
lab,p7,spatial,minus45,5,8.8164,0.3258,2.6644,0.2884
lab,p7,spatial,plus45,5,10.4803,0.218,3.3429,0.1943
lab,p8,temporal,horizontal,5,1.3292,0.0629,0.5526,0.0568
lab,p8,temporal,vertical,5,1.3523,0.038,0.5604,0.0343
lab,p8,temporal,minus45,5,8.7803,0.2807,1.7241,0.2327
lab,p8,temporal,plus45,5,8.5182,0.0728,2.1424,0.0636
lab,p8,spatial,horizontal,5,1.6372,0.0508,0.3091,0.0436
lab,p8,spatial,vertical,5,2.2781,0.0576,0.6133,0.0509
lab,p8,spatial,minus45,5,15.1444,0.1494,3.7306,0.1351
lab,p8,spatial,plus45,5,14.0397,0.2811,3.5789,0.2515
lab,p9,temporal,horizontal,6,1.5197,0.0696,0.4838,0.062
lab,p9,temporal,vertical,4,1.6249,0.058,0.7868,0.054
lab,p9,temporal,minus45,5,9.291,0.4496,5.1433,0.4385
lab,p9,temporal,plus45,5,11.8735,0.6401,5.4726,0.625
lab,p9,spatial,horizontal,5,1.8126,0.0342,0.7003,0.031
lab,p9,spatial,vertical,5,1.6956,0.0576,0.6021,0.0516
lab,p9,spatial,minus45,5,15.6351,0.4927,4.2209,0.4568
lab,p9,spatial,plus45,5,13.3632,0.4413,4.4412,0.4064
web,p1,temporal,horizontal,5,1.0198,0.0321,0.4434,0.0285
web,p1,temporal,vertical,5,1.1311,0.022,0.4288,0.0193
web,p1,temporal,minus45,5,6.4802,0.1256,1.7999,0.1131
web,p1,temporal,plus45,5,6.3249,0.2007,2.4704,0.18
web,p1,spatial,horizontal,5,1.6759,0.0312,0.4047,0.0273
web,p1,spatial,vertical,5,1.7315,0.0262,0.5733,0.0233
web,p1,spatial,minus45,5,14.581,0.3164,4.3302,0.2919
web,p1,spatial,plus45,5,10.0945,0.5386,4.1892,0.495
web,p10,temporal,horizontal,5,2.0903,0.1188,1.3653,0.1285
web,p10,temporal,vertical,6,2.2675,0.1197,1.2575,0.124
web,p10,temporal,minus45,5,12.9558,0.3961,4.2627,0.3615
web,p10,temporal,plus45,5,13.4132,0.3895,5.0822,0.3714
web,p10,spatial,horizontal,5,2.2369,0.0821,1.0082,0.0782
